School district,Reopening Instructional Model,First Day of School,District Plan,,
Bryn Athyn SD,N/A,,,,
Burgettstown Area SD,In-Person,8/31/2020,https://www.burgettstown.k12.pa.us/site/handlers/filedownload.ashx?moduleinstanceid=10374&dataid=18873&FileName=BASD%20Health%20and%20Safety%20Plan%20v2.0.pdf,,
Burrell SD,In-Person,9/8/2020,https://www.burrell.k12.pa.us/userfiles/2/my files/8-4-2020 pde template - school health and safety plan - 2020-2021.pdf?id=3818,,
Butler Area SD,In-Person,9/1/2020,https://www.basdk12.org/Content2/reopening-plans,,
California Area SD,Blended,8/26/2020,https://www.calsd.org/apps/pages/index.jsp?uREC_ID=1842789&type=d&pREC_ID=1971499,,
Cambria Heights SD,Blended,9/8/2020,https://www.chsd1.org/,,
Cameron County SD,In-Person,8/26/2020,https://drive.google.com/file/d/1okzZK3Zt1sKR9pNONuwPlAmwKay7EKwK/view?fbclid=IwAR2JMRWsxv7QsTVkpHtT8f9qt6Thw1uvUls9Ow9jCW9eauvSHO3L15n_8BA,,
Camp Hill SD,Blended,9/8/2020,https://www.camphillsd.k12.pa.us/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=3668&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=24963&PageID=9,,
Canon-McMillan SD,Blended,8/24/2020,https://docs.google.com/document/d/1NGoYBjqCuIG4PG6a9MYe0fV4NpeUBL6e9QX169eFXD4/edit,,
Canton Area SD,In-Person,8/31/2020,https://www.canton.k12.pa.us/2020-21-re-opening-of-casd/,,
Carbondale Area SD,Remote,9/1/2020,http://www.carbondalearea.org/casd-phased-school-reopening-health-and-safety-plan-2020-2021/,,
Carlisle Area SD,Blended,9/8/2020,https://www.carlisleschools.org/cms/One.aspx?portalId=95563&pageId=32203987&portletInstanceId=258443&portletAction=restore,,
Carlynton SD,Remote,8/25/2020,https://www.carlynton.k12.pa.us/our_district/news/what_s_new/district_health_and_safety_plan,,
Carmichaels Area SD,Blended,8/26/2020,https://www.carmarea.org/apps/news/,,
Catasauqua Area SD,In-Person,8/31/2020,https://www.cattysd.org/Domain/683,,
Centennial SD,Remote,9/1/2020,https://www.centennialsd.org/domain/1313,,
Central Bucks SD,Remote,9/8/2020,https://www.cbsd.org/2020-21,,
Central Cambria SD,Blended,9/8/2020,https://www.cencam.org/apps/news/,,
Central Columbia SD,In-Person,8/27/2020,https://www.centralcolumbia.k12.pa.us/,,
Central Dauphin SD,Blended,8/24/2020,https://www.cdschools.org/Page/23646,,
Central Fulton SD,In-Person,8/19/2020,https://www.cfsd.info/News/87,,
Central Greene SD,Blended,8/27/2020,https://www.cgsd.org/,,
Central Valley SD,In-Person,8/31/2020,http://www.centralvalleysd.org/COVID19.aspx,,
Central York SD,In-Person,8/21/2020,https://youtu.be/w9aF-1GXr40,,
Chambersburg Area SD,Remote,8/24/2020,https://www.casdonline.org/Page/18021,,
Charleroi SD,Blended,9/8/2020,https://www.charleroisd.org/,,
Chartiers Valley SD,Blended,8/24/2020,https://www.cvsd.net/reopening-and-planning/reopening-and-planning-clone,,
Chartiers-Houston SD,Blended,8/27/2020,https://www.chbucs.k12.pa.us/Page/1,,
Cheltenham Township SD,Remote,8/31/2020,https://sites.google.com/cheltenham.org/csdroad2reopening/csd-road2reopening,,
Chester-Upland SD,Remote,9/1/2020,https://www.chesteruplandsd.org/News/2109,,
Chestnut Ridge SD,Blended,8/20/2020,https://www.crlions.org/apps/pages/index.jsp?uREC_ID=1808891&type=d&pREC_ID=1974266,,
Chichester SD,Remote,9/8/2020,https://www.chichestersd.org/apps/news/show_news.jsp?REC_ID=654194&id=0,,
Clairton City SD,Blended,8/31/2020,https://www.ccsdbears.org/News/covid-19-reopening-plan,,
Clarion Area SD,In-Person,8/26/2020,https://www.clarion-schools.com/,,
Clarion-Limestone Area SD,In-Person,8/26/2020,https://www.clasd.net/,,
Claysburg-Kimmel SD,Blended,8/26/2020,https://www.smore.com/9n81w,,
Clearfield Area SD,Blended,8/26/2020,https://www.clearfield.org/o/district/browse/112084,,
Coatesville Area SD,Remote,8/31/2020,https://www.casdschools.org/site/Default.aspx?PageID=7305,,
Cocalico SD,Blended,8/24/2020,https://www.cocalico.org/district/c_o_v_i_d-19___coronavirus__information,,
Colonial SD,Remote,8/31/2020,https://www.colonialsd.org/news/item/~post/colonial-to-begin-school-year-with-virtual-learning-20200810,,
Columbia Borough SD,Blended,8/31/2020,https://www.columbiabsd.org/o/cbsd/page/reopening-plan-2020-21--2,,
Commodore Perry SD,In-Person,9/8/2020,http://cppanthers.org/,,
Conemaugh Township Area SD,In-Person,8/26/2020,https://tb2cdn.schoolwebmasters.com/accnt_396870/site_396871/Documents/CTASD-Health-and-Safety-Plan.pdf,,
Conemaugh Valley SD,Blended,8/31/2020,https://www.cvk12.org/,,
Conestoga Valley SD,Blended,8/24/2020,https://www.conestogavalley.org/Page/4350,,
Conewago Valley SD,Blended,8/25/2020,https://www.conewago.k12.pa.us/,,
Conneaut SD,In-Person,9/2/2020,https://www.conneautsd.org/News/1131,,
Connellsville Area SD,Blended,9/8/2020,https://4.files.edl.io/86e3/08/05/20/230313-4dd386c2-cf34-4322-9d78-324609a53395.pdf,,
Conrad Weiser Area SD,In-Person,9/8/2020,https://www.conradweiser.org/,,
Cornell SD,Blended,9/2/2020,https://www.cornellsd.org/apps/news/article/1278526,,
Cornwall-Lebanon SD,Blended,8/31/2020,https://www.clsd.k12.pa.us/blog/2020/08/18/superintendents-remarks-2/,,
Corry Area SD,In-Person,8/26/2020,https://sites.google.com/a/corrysd.net/casd/,,
Coudersport Area SD,In-Person,8/31/2020,https://www.coudyschools.net/our-district/reopening-plan,,
Council Rock SD,Remote,9/8/2020,https://www.crsd.org/domain/4107,,
Cranberry Area SD,In-Person,9/1/2020,https://drive.google.com/file/d/1U-W8ytiIk8ZdiaLRu4sl0ZFHPOs7hv3l/view,,
Crawford Central SD,In-Person,9/2/2020,https://www.craw.org/updates/index,,
Crestwood SD,Remote,9/8/2020,https://csdcomets.org/,,
Cumberland Valley SD,Blended,8/31/2020,http://www.cvschools.org/about_us/back_to_school_blueprint_-_2020-21,,
Curwensville Area SD,In-Person,8/27/2020,https://drive.google.com/file/d/1_JYyLLe_FK0HVjzBL0QoHD_ImoXIcjvz/view,,
Dallas SD,Blended,8/26/2020,https://www.dsdhs.com/reopening-plan,,
Dallastown Area SD,In-Person,9/8/2020,https://sites.google.com/dallastown.net/dasdcovid19/home,,
Daniel Boone Area SD,Blended,8/31/2020,https://www.dboone.org/Page/414,,
Danville Area SD,In-Person,9/3/2020,https://www.danville.k12.pa.us/domain/2700,,
Deer Lakes SD,Blended,8/31/2020,http://www.deerlakes.net/protected/ArticleView.aspx?iid=6Y3A0B0&dasi=3I00,,
Delaware Valley SD,In-Person,8/31/2020,https://www.dvsd.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=1496&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=17754&PageID=1,,
Derry Area SD,Blended,8/31/2020,https://drive.google.com/file/d/1W2I3c38t8UQZSS44_Sewd4xQN1za79df/view,,
Derry Township SD,In-Person,8/31/2020,https://www.hershey.k12.pa.us/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=5700&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=18317&PageID=1,,
Donegal SD,In-Person,8/25/2020,http://www.donegalsd.org/office-of-the-superintendent-2fe8faa0/donegal-school-district-re-opening-schools-information-4ae74870,,
Dover Area SD,In-Person,9/8/2020,https://www.doversd.org/downloads/fall_2020_covid-19/8-20-20_dasd_board_approved__health_safety_plan.pdf,,
Downingtown Area SD,Remote,8/31/2020,https://www.dasd.org/Page/9362,,
Dubois Area SD,Blended,8/24/2020,https://drive.google.com/file/d/1N024MQ460O_SvJ3T4POJc-ho_pokcmPV/view,,
Dunmore SD,Blended,8/24/2020,https://www.dunmoreschooldistrict.net/news/what_s_new/third_one____,,
Duquesne City SD,Remote,8/19/2020,https://www.dukecitysd.org/Page/178,,
East Allegheny SD,Remote,8/31/2020,https://www.eawildcats.net/site/default.aspx?PageType=14&DomainID=4&ModuleInstanceID=16&PageID=1&ViewID=C83D46AC-74FE-4857-8C9A-5922A80225E2&IsMoreExpandedView=True&GroupByField=&GroupYear=0&GroupMonth=0&Tag=,,
East Lycoming SD,In-Person,8/26/2020,https://www.elsd.org/live_feed,,
East Penn SD,Blended,8/31/2020,https://www.eastpennsd.org/fall-planning-guide/,,
East Pennsboro Area SD,Remote,8/24/2020,https://www.epasd.org/epasd-2020-21-reentry-plan/,,
East Stroudsburg Area SD,Blended,8/31/2020,https://www.esasd.net/,,
Eastern Lancaster County SD,In-Person,8/31/2020,https://www.elanco.org/apps/pages/index.jsp?uREC_ID=1212614&type=d&pREC_ID=1980209,,
Eastern Lebanon County SD,Blended,8/31/2020,https://www.elcosd.org/domain/518,,
Eastern York SD,Blended,9/8/2020,https://drive.google.com/file/d/1EK2Sc9JDC1VzD833ZPWNbWiOpH9Wv1g6/view,,
Easton Area SD,Blended,9/8/2020,https://www.eastonsd.org/apps/news/show_news.jsp?REC_ID=652846&id=0,,
Elizabeth Forward SD,Blended,8/31/2020,https://www.efsd.net/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=5656&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=4789&PageID=1,,
Elizabethtown Area SD,Blended,8/31/2020,https://www.etownschools.org/site/Default.aspx?PageID=12026,,
Elk Lake SD,Blended,8/27/2020,https://drive.google.com/file/d/1mSFXuOzF9-o-vOFTTPAktGeefHDajDt8/view,,
Ellwood City Area SD,In-Person,9/8/2020,https://www.ellwood.k12.pa.us/apps/pages/index.jsp?uREC_ID=1447047&type=d&pREC_ID=1957052,,
Ephrata Area SD,In-Person,8/31/2020,https://easdpa.org/planning-for-the-2020-2021-school-year/,,
Erie City SD,Remote,9/8/2020,https://www.eriesd.org/site/Default.aspx?PageID=19822,,
Everett Area SD,Blended,8/20/2020,https://www.everettasd.org/2020-2021-school-year-plans,,
Exeter Township SD,In-Person,8/24/2020,https://www.exeter.k12.pa.us/domain/1044,,
Fairfield Area SD,Blended,9/8/2020,https://www.fairfieldpaschools.org/Page/2556,,
Fairview SD,In-Person,9/1/2020,http://www.fairviewschools.org/,,
Fannett-Metal SD,In-Person,8/24/2020,https://fmtigers.org/news/,,
Farrell Area SD,In-Person,8/24/2020,http://www.farrellareaschools.com/protected/ArticleArchive.aspx?dasi=&n=&vs=1G&sd=&ed=&p=5GIU22&a=&q=&cp=1Z&,,
Ferndale Area SD,In-Person,8/31/2020,https://www.fasdk12.org/apps/pages/ReturnToSchool,,
Fleetwood Area SD,Blended,8/31/2020,https://www.fleetwoodasd.k12.pa.us/Content2/474,,
Forbes Road SD,In-Person,9/8/2020,http://www.frsd.info/,,
Forest Area SD,In-Person,9/1/2020,http://www.forestareaschools.org/closure/,,
Forest City Regional SD,Blended,9/14/2020,https://www.fcrsd.org/,,
Forest Hills SD,Blended,8/26/2020,https://www.fhrangers.org/,,
Fort Cherry SD,In-Person,8/31/2020,https://www.fortcherry.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=4098&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=8053&PageID=1,,
Fort LeBoeuf SD,In-Person,9/9/2020,https://www.fortleboeuf.net/apps/pages/index.jsp?uREC_ID=442912&type=d,,
Fox Chapel Area SD,Blended,8/24/2020,https://www.fcasd.edu/Page/481,,
Franklin Area SD,In-Person,9/1/2020,https://sites.google.com/students.fasd.k12.pa.us/franklin-area-school-district/home?authuser=0,,
Franklin Regional SD,Blended,9/8/2020,https://drive.google.com/file/d/1dq7lhpmd4JIgnLveVcdD92OhinjgT--F/view,,
Frazier SD,Blended,8/31/2020,https://www.frazierschooldistrict.org/returntoschool,,
Freedom Area SD,Remote,8/27/2020,https://www.freedomareaschools.org/,,
Freeport Area SD,In-Person,9/8/2020,https://www.freeport.k12.pa.us/Content2/816,,
Galeton Area SD,In-Person,8/26/2020,https://www.gasd.net/,,
Garnet Valley SD,Remote,9/1/2020,https://sites.google.com/garnetvalley.org/gvsd-opening-of-school/home,,
Gateway SD,Blended,9/8/2020,https://www.gatewayk12.org/apps/pages/index.jsp?uREC_ID=1690934&type=d&pREC_ID=1968824,,
General McLane SD,Blended,8/25/2020,https://www.generalmclane.net/,,
Gettysburg Area SD,Blended,8/31/2020,https://www.gettysburg.k12.pa.us/reopen,,
Girard SD,In-Person,9/8/2020,https://girardsd.org/apps/news/,,
Glendale SD,In-Person,8/26/2020,https://www.gsd1.org/apps/news/,,
Governor Mifflin SD,Blended,8/31/2020,https://sites.google.com/gostangs.org/returntoschool/home,,
Great Valley SD,Remote,8/31/2020,https://www.gvsd.org/covid-19,,
Greater Johnstown SD,In-Person,8/27/2020,https://www.gjsd.net/,,
Greater Latrobe SD,Blended,8/31/2020,https://4.files.edl.io/ef7b/08/19/20/175845-af83b68a-ac97-41d0-81c7-4986d26ef774.pdf,,
Greater Nanticoke Area SD,Blended,8/31/2020,http://gnasd.com/,,
Greencastle-Antrim SD,Blended,8/24/2020,https://www.gcasd.org/,,
Greensburg Salem SD,Blended,9/8/2020,https://www.greensburgsalem.org/apps/pages/index.jsp?uREC_ID=1240188&type=d&pREC_ID=2032153,,
Greenville Area SD,Blended,8/26/2020,http://www.greenville.k12.pa.us/,,
Greenwood SD,In-Person,8/26/2020,https://www.greenwoodsd.org/,,
Grove City Area SD,In-Person,8/31/2020,https://www.grovecity.k12.pa.us/gc,,
Halifax Area SD,In-Person,8/25/2020,https://www.hasd.us/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=541&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5486&PageID=1,,
Hamburg Area SD,In-Person,8/27/2020,https://www.hasdhawks.org/,,
Hampton Township SD,Blended,8/27/2020,https://www.ht-sd.org/page.cfm?p=6510,,
Hanover Area SD,Blended,8/31/2020,http://www.hanoverarea.org/pdf/SchoolReopeningPlan8-4-2020.pdf,,
Hanover Public SD,Blended,8/21/2020,https://docs.google.com/document/d/1o-Gzgv8tFxI_zfBowaRGYaF81myp3mvz6xmTcECU12M/edit,,
Harbor Creek SD,Blended,8/24/2020,https://www.hcsd.iu5.org/apps/pages/index.jsp?uREC_ID=440053&type=d,,
Harmony Area SD,Blended,9/8/2020,http://harmonyowls.com/,,
Harrisburg City SD,Remote,8/31/2020,http://www.hbgsd.k12.pa.us/,,
Hatboro-Horsham SD,Blended,9/8/2020,https://www.hatboro-horsham.org/Page/1600,,
Haverford Township SD,Remote,8/31/2020,https://www.haverford.k12.pa.us/haverford-opening-2020-21,,
Hazleton Area SD,Blended,9/8/2020,https://www.hasdk12.org/cms/lib/PA01001366/Centricity/Domain/1769/2020-2021 Reopening Presentation.pdf,,
Hempfield Area SD,Blended,8/27/2020,https://www.hasdpa.net/apps/pages/index.jsp?uREC_ID=1189925&type=d&pREC_ID=2033355,,
Hempfield SD,In-Person,8/25/2020,http://hempfieldsd.org/Page/822,,
Hermitage SD,In-Person,8/25/2020,https://www.hermitage.k12.pa.us/,,
Highlands SD,Blended,8/27/2020,https://www.goldenrams.com/site/Default.aspx?PageID=5652,,
Hollidaysburg Area SD,In-Person,8/26/2020,https://sites.google.com/hasdtigers.com/coronavirus-resource-site,,
Homer-Center SD,In-Person,8/31/2020,https://4.files.edl.io/2d8a/08/24/20/003114-950d0479-f113-43d4-82f3-19c815a66c78.pdf,,
Hopewell Area SD,Blended,9/8/2020,http://www.hopewellarea.org/,,
Huntingdon Area SD,In-Person,8/27/2020,https://sites.google.com/huntsd.org/hasd-covid-19-information/home,,
Indiana Area SD,Blended,9/8/2020,https://www.iasd.cc/apps/news/article/1279299,,
Interboro SD,Remote,9/17/2020,https://www.interborosd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=44&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=10866&PageID=1,,
Iroquois SD,In-Person,9/8/2020,https://ies.iroquoissd.org/o/iroquois-school-district/page/covid-19-district-info,,
Jamestown Area SD,Remote,8/26/2020,http://www.jamestown.k12.pa.us/,,
Jeannette City SD,In-Person,8/27/2020,https://4.files.edl.io/5406/07/14/20/161635-72199a40-1411-4a3b-a429-76130be1e624.pdf,,
Jefferson-Morgan SD,Blended,8/26/2020,https://www.jmsd.org/apps/pages/index.jsp?uREC_ID=382021&type=d&pREC_ID=1961735&tota11y=true,,
Jenkintown SD,Blended,9/8/2020,https://www.jenkintowndrakes.org/latest-reopening-schools-information/,,
Jersey Shore Area SD,In-Person,8/27/2020,https://www.jsasd.org/health-and-safety-plan/,,
Jim Thorpe Area SD,Blended,9/8/2020,https://www.jimthorpesd.org/cms/One.aspx?portalId=322417&pageId=13266027,,
Johnsonburg Area SD,Blended,9/8/2020,https://www.johnsonburgareaschooldistrict.net/,,
Juniata County SD,In-Person,9/8/2020,https://www.jcsdk12.org/o/jcsd/live_feed,,
Juniata Valley SD,Blended,8/26/2020,https://www.jvhornets.com/Content2/30,,
Kane Area SD,In-Person,8/25/2020,https://www.kane.new.rschooltoday.com/page/hot_news/view/219,,
Karns City Area SD,In-Person,9/2/2020,https://www.kcasdk12.org/,,
Kennett Consolidated SD,Remote,9/8/2020,https://www.kcsd.org/,,
Keystone Central SD,In-Person,9/1/2020,https://www.kcsd.k12.pa.us/reopening-of-schools-information-f327f547,,
Keystone Oaks SD,Blended,9/8/2020,https://www.kosd.org/2020-2021SchoolReopeningPlanCOVID-19Resources.aspx,,
Keystone SD,In-Person,8/26/2020,http://www.keyknox.com/highschool/Corona 19.html,,
Kiski Area SD,Blended,9/14/2020,https://4.files.edl.io/7bdd/08/18/20/185511-28db1533-1ec3-492a-b398-0437038c9a85.pdf,,
Kutztown Area SD,Blended,8/31/2020,https://www.kasd.org/Page/3246,,
Lackawanna Trail SD,In-Person,9/10/2020,https://www.ltsd.org/cms/lib/PA02203626/Centricity/Domain/4/20200811101639726.pdf,,
Lake-Lehman SD,In-Person,9/8/2020,https://www.llsd.org/Returning-to-School-FAQs,,
Lakeland SD,Remote,8/31/2020,https://www.lakelandsd.org/apps/pages/index.jsp?uREC_ID=1820990&type=d&pREC_ID=2027772,,
Lakeview SD,In-Person,8/26/2020,https://www.lakeview.k12.pa.us/covid19,,
Lampeter-Strasburg SD,Blended,8/26/2020,https://www.l-spioneers.org/Coronavirus-Updates/,,
Lancaster SD,Remote,8/31/2020,https://sdlancaster.org/back-to-school-plan/,,
Laurel Highlands SD,Blended,8/31/2020,https://5c9c09cf-cacb-4db9-b065-c1860de1e4a2.filesusr.com/ugd/71f580_e2770a1035ab4415b21e74a1fa5b0b4a.pdf,,
Laurel SD,In-Person,8/31/2020,https://www.laurelspartans.com/back-to-school,,
Lebanon SD,Blended,8/31/2020,https://www.lebanon.k12.pa.us/school-opening/,,
Leechburg Area SD,Remote,8/26/2020,https://4.files.edl.io/f5ce/08/13/20/161445-f3f1871e-fc1d-45d0-9f7b-e83440d95e54.pdf,,
Lehighton Area SD,Blended,9/8/2020,https://www.lehighton.org/,,
Lewisburg Area SD,In-Person,8/24/2020,https://www.lasd.us/school-reopening-and-covid-19-response-information/,,
Ligonier Valley SD,Blended,8/31/2020,https://www.lvsd.k12.pa.us/apps/pages/index.jsp?uREC_ID=1399136&type=d&pREC_ID=1965124,,
Line Mountain SD,In-Person,8/24/2020,https://www.linemountain.com/,,
Littlestown Area SD,Blended,8/19/2020,https://www.lasd.k12.pa.us/updates/2020-2021-sy,,
Lower Dauphin SD,Blended,8/31/2020,https://www.ldsd.org/site/Default.aspx?PageID=15666,,
Lower Merion SD,Remote,9/8/2020,https://www.lmsd.org/departments/health/coronavirus-response,,
Lower Moreland Township SD,Blended,8/31/2020,https://sites.google.com/lmtsd.org/schoolre-openingsite/home,,
Loyalsock Township SD,In-Person,8/31/2020,https://www.ltsd.k12.pa.us/school-reopening-health-and-safety-plan-information/,,
Mahanoy Area SD,In-Person,8/27/2020,https://www.mabears.net/apps/news/,,
Manheim Central SD,Blended,8/31/2020,https://www.manheimcentral.org/site/Default.aspx?PageID=1102,,
Manheim Township SD,In-Person,8/25/2020,https://www.mtwp.net/reopen/,,
Marion Center Area SD,Blended,8/31/2020,https://www.mcasd.net/apps/pages/index.jsp?uREC_ID=1695488&type=d&pREC_ID=2009702,,
Marple Newtown SD,Remote,9/8/2020,https://www.mnsd.net/News/15233,,
Mars Area SD,In-Person,8/31/2020,https://www.marsk12.org/apps/pages/index.jsp?uREC_ID=1789632&type=d&pREC_ID=1963140&tota11y=true,,
McGuffey SD,Blended,8/27/2020,https://www.mcguffey.k12.pa.us/Downloads/Family Return to School Update.pdf,,
McKeesport Area SD,In-Person,9/2/2020,https://www.mckasd.net/,,
Mechanicsburg Area SD,Blended,9/8/2020,https://www.mbgsd.org/apps/news/article/1267259,,
Mercer Area SD,In-Person,8/25/2020,https://www.mercer.k12.pa.us/Page/3746,,
Methacton SD,Remote,9/8/2020,https://www.methacton.org/Page/537,,
Meyersdale Area SD,In-Person,9/1/2020,https://www.masd.net/cms/lib/PA01001122/Centricity/Domain/1/8-5-2020 MASD Phased School Reopening Plan.pdf,,
Mid Valley SD,Blended,9/8/2020,https://drive.google.com/open?id=14vKZYpEY2DvZO7mNuP7NDpwCQjRsSNb-&authuser=depotij%40mvsd.us&usp=drive_fs,,
Midd-West SD,In-Person,8/24/2020,https://www.mwsd.cc/article/281560?org=mwsdk,,
